baralho,id,carta,tag,peso_carta,peso_tag,peso_total,media,mediana,moda,moda_pct,desvio,p10,p90,pct_5_primeiras,pct_5_ultimas,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,pos_22,pos_23,pos_24,pos_25,pos_26,pos_27,pos_28,pos_29,pos_30,pos_31,pos_32,pos_33,pos_34,pos_35,pos_36,pos_37,pos_38,pos_39,pos_40,pos_41,pos_42,pos_43,pos_44
"Verdade ou Sacanagem","v12","Você curte produtos de sexshop? Qual você tem mais vontade de experimentar com seu amor?","Verdade",0.07,-0.18,-0.11,16.22,15,1,8.00,9.78,3,32,16.00,6.00,4,1,1,0,2,0,2,3,2,2,0,0,4,2,3,1,2,3,1,1,3,1,0,0,2,0,1,0,2,1,0,3,1,1,1,0,0,,,,,,,
"Verdade ou Sacanagem","v8","O que mais te dá tesão durante as preliminares?","Verdade",-0.02,-0.18,-0.20,16.80,16,3,12.00,11.11,3,31,24.00,10.00,0,3,6,1,2,0,3,1,0,2,3,2,0,1,0,2,1,1,2,0,2,2,0,0,0,0,1,5,1,2,2,0,0,3,1,1,0,,,,,,,
"Verdade ou Sacanagem","s1","Selinho! E um beijo beem demorado.","Sacanagem",-0.17,0.18,0.01,17.70,17,9,8.00,11.31,4,34,20.00,16.00,2,0,3,3,2,2,1,0,4,3,0,0,0,0,2,1,3,1,3,0,1,1,2,1,0,2,0,0,1,2,0,2,2,2,1,3,0,,,,,,,
"Verdade ou Sacanagem","v9","Em quais lugares, que estejam acessíveis no momento, você desejaria transar agora?","Verdade",0.14,-0.18,-0.04,17.94,17,6,8.00,10.23,6,32,8.00,8.00,3,1,0,0,0,4,1,2,3,2,0,1,1,3,1,1,3,2,0,3,1,1,2,0,0,0,2,1,2,4,0,2,0,2,0,2,0,,,,,,,
"Verdade ou Sacanagem","v2","Conte um fetiche.","Verdade",0.09,-0.18,-0.09,18.12,18,5,8.00,10.84,4,34,20.00,12.00,3,2,0,1,4,0,1,0,0,3,3,1,0,1,2,1,2,3,1,2,1,0,1,2,3,0,2,2,1,0,0,2,0,1,1,1,3,,,,,,,
"Verdade ou Sacanagem","v11","Você curte joguinhos eróticos? Se sim, dê exemplo de um.","Verdade",-0.03,-0.18,-0.21,18.24,19,24,10.00,9.36,6,30,10.00,8.00,0,1,0,2,2,3,2,1,1,1,0,2,4,2,0,0,0,3,2,1,1,3,2,5,1,1,2,0,2,1,0,1,1,1,0,2,0,,,,,,,
"Verdade ou Sacanagem","v15","Você assiste a vídeos pornográficos? Com que frequência e o que faz enquanto assiste? Diga com detalhes.","Verdade",0.16,-0.18,-0.02,18.44,20,2,6.00,10.21,4,33,14.00,12.00,1,3,0,2,1,1,1,2,2,0,0,2,2,1,3,2,0,1,0,2,3,3,2,2,1,3,0,1,0,3,0,0,2,0,1,0,3,,,,,,,
"Verdade ou Sacanagem","s4","Carícias em todo o tórax e barriga.","Sacanagem",-0.1,0.18,0.08,18.62,17,3,8.00,10.47,5,33,14.00,12.00,0,0,4,0,3,0,2,1,4,1,2,1,1,0,0,3,4,2,1,0,0,1,1,3,0,2,1,1,2,1,1,2,2,0,1,1,2,,,,,,,
"Verdade ou Sacanagem","s10","Strip!","Sacanagem",-0.06,0.18,0.12,18.68,16,12,14.00,10.40,6,34,10.00,16.00,0,1,1,2,1,2,2,0,0,2,0,7,2,1,4,2,1,2,0,2,0,0,0,1,1,1,0,1,1,3,2,0,1,3,3,0,1,,,,,,,
"Verdade ou Sacanagem","s5","Chupões na nuca.","Sacanagem",-0.12,0.18,0.06,18.90,20,4,10.00,11.32,4,35,16.00,18.00,1,1,1,5,0,4,1,0,1,1,1,1,2,2,1,1,0,0,1,2,1,1,2,1,3,1,2,2,0,1,0,1,1,2,2,3,1,,,,,,,
"Verdade ou Sacanagem","s3","Lambidinhas e mordidinhas na orelha.","Sacanagem",-0.18,0.18,0.00,19.36,19,25,10.00,10.46,6,34,10.00,12.00,0,1,3,1,0,3,1,1,3,1,0,1,1,1,0,2,3,3,1,1,0,1,2,0,5,2,2,1,1,0,2,1,0,1,0,1,4,,,,,,,
"Verdade ou Sacanagem","s8","Beije com vontade a parte do corpo do seu amor que você mais gosta.","Sacanagem",-0.11,0.18,0.07,19.36,20,6,8.00,10.29,6,33,4.00,12.00,1,0,0,0,1,4,3,3,2,1,0,3,1,0,1,1,1,0,1,3,0,2,2,4,1,0,1,1,3,0,2,2,2,0,2,0,2,,,,,,,
"Verdade ou Sacanagem","s18","Escolha: amasso com ou sem roupa?","Sacanagem",-0.15,0.18,0.03,19.46,20,5,8.00,9.80,6,32,10.00,10.00,0,1,0,0,4,2,0,2,2,1,2,2,0,0,2,2,3,1,1,2,2,0,0,2,3,1,1,4,0,2,2,1,1,1,1,1,1,,,,,,,
"Verdade ou Sacanagem","v1","Diga uma fantasia erótica.","Verdade",0.06,-0.18,-0.12,19.60,18,8,10.00,11.49,6,35,10.00,18.00,3,1,0,1,0,1,0,5,2,2,3,2,0,0,2,1,0,3,1,0,1,0,1,0,0,2,1,0,2,3,3,1,2,1,3,1,2,,,,,,,
"Verdade ou Sacanagem","s6","Beijos na virilha.","Sacanagem",-0.03,0.18,0.15,20.08,21,21,8.00,10.64,5,35,14.00,20.00,2,0,2,0,3,0,1,1,1,1,1,0,2,3,1,1,2,1,0,1,4,4,1,1,0,2,1,2,1,1,0,0,2,1,3,1,3,,,,,,,
"Verdade ou Sacanagem","s2","Amasso longo.","Sacanagem",-0.14,0.18,0.04,21.16,23,19,8.00,9.48,9,34,6.00,14.00,0,1,2,0,0,1,0,1,3,3,0,1,0,1,1,0,2,1,4,0,2,2,3,2,2,2,3,1,2,0,2,1,1,2,2,1,1,,,,,,,
"Verdade ou Sacanagem","s17","Escolha: Oral em você ou nele(a)?","Sacanagem",0.13,0.18,0.31,21.22,23,32,8.00,10.15,6,34,10.00,12.00,0,2,1,0,2,1,1,1,0,0,2,3,1,1,0,3,0,0,1,3,0,2,3,1,1,3,3,1,0,3,1,4,0,1,3,0,2,,,,,,,
"Verdade ou Sacanagem","s11","Masturbe-o(a).","Sacanagem",0.01,0.18,0.19,21.24,24,4,6.00,10.83,4,34,14.00,16.00,0,2,2,3,0,1,1,0,1,0,1,1,1,2,2,0,0,0,3,2,1,1,1,2,1,3,3,0,0,3,2,3,1,2,1,3,1,,,,,,,
"Verdade ou Sacanagem","s19","Escolha: Sexo oral ou Masturbação a dois?","Sacanagem",0.13,0.18,0.31,21.54,21,19,12.00,9.36,8,35,6.00,20.00,0,1,0,0,2,0,2,1,0,0,2,0,2,3,0,1,1,2,6,1,3,1,2,1,2,2,2,2,0,0,1,0,1,3,2,1,3,,,,,,,
"Verdade ou Sacanagem","s12","Faça com que ele implore(a) para fazer amor.","Sacanagem",0.07,0.18,0.25,21.76,24,25,10.00,9.32,7,34,8.00,12.00,0,1,0,3,0,1,1,0,2,0,1,0,0,1,1,2,2,2,0,2,2,3,1,3,5,0,3,1,4,0,3,0,0,1,0,4,1,,,,,,,
"Verdade ou Sacanagem","s25","Vende os olhos do seu parceiro e faça o que quiser","Sacanagem",0.05,0.18,0.23,21.90,24,31,8.00,9.75,9,33,6.00,16.00,2,0,0,0,1,0,1,1,1,2,2,1,1,2,1,1,1,1,0,1,1,2,3,3,3,2,0,3,0,0,4,2,3,0,2,2,1,,,,,,,
"Verdade ou Sacanagem","s23","Fique amarrado e vendado e deixe seu parceiro fazer o que quiser","Sacanagem",0.12,0.18,0.30,22.24,24,13,6.00,9.38,10,35,2.00,18.00,0,0,0,0,1,0,2,2,0,1,2,2,3,0,3,1,2,0,1,1,2,1,1,2,3,1,1,1,3,2,0,3,1,2,3,3,0,,,,,,,
"Verdade ou Sacanagem","s16","Escolha: Masturbá-lo(a) ou assistir ele(a) masturbando-se?","Sacanagem",-0.01,0.18,0.17,22.28,22,34,12.00,10.66,5,34,14.00,22.00,1,1,0,3,2,1,0,0,0,0,2,0,0,1,0,3,2,2,1,3,2,2,0,0,0,1,2,0,2,3,3,2,1,6,3,0,1,,,,,,,
"Verdade ou Sacanagem","s9","Beijos carinhosos nas partes íntimas.","Sacanagem",0.04,0.18,0.22,22.32,24,12,6.00,9.45,9,34,2.00,16.00,0,0,0,0,1,0,2,2,2,1,1,3,0,1,3,1,0,1,1,0,1,2,3,1,2,3,3,1,0,1,3,3,1,3,1,1,2,,,,,,,
"Verdade ou Sacanagem","s24","Amarre seu parceiro e faça o que quiser","Sacanagem",0.1,0.18,0.28,22.34,24,33,12.00,10.05,8,33,8.00,22.00,0,0,1,2,1,1,0,2,1,1,1,0,1,1,2,0,2,2,2,0,1,3,1,2,1,0,2,2,1,2,2,2,6,1,1,2,1,,,,,,,
"Verdade ou Sacanagem","s22","69","Sacanagem",0.16,0.18,0.34,22.60,26,36,8.00,10.71,7,36,8.00,22.00,0,1,2,1,0,1,1,0,1,2,2,0,1,1,1,3,1,1,1,2,0,0,1,1,0,2,2,3,2,2,2,2,1,2,2,4,2,,,,,,,
"Verdade ou Sacanagem","s15","Escolha um lugar inusitado para fazer amor agora.","Sacanagem",0.21,0.18,0.39,23.20,26,33,10.00,10.31,10,36,6.00,26.00,1,0,1,1,0,1,0,0,1,1,2,2,3,0,0,2,2,2,1,1,0,0,0,2,1,2,0,3,3,3,2,0,5,0,2,4,2,,,,,,,
"Verdade ou Sacanagem","s21","Sacanagem: “Papai e mamãe” ou “De quatro”?","Sacanagem",0.18,0.18,0.36,24.06,28,29,8.00,10.33,10,36,6.00,30.00,0,1,0,2,0,1,1,0,0,1,2,0,1,2,1,1,2,2,0,2,1,1,0,1,1,1,1,3,4,1,0,2,3,3,2,3,4,,,,,,,
"Verdade ou Sacanagem","s14","Rapidinha!","Sacanagem",0.19,0.18,0.37,25.86,30,31,12.00,9.39,11,37,4.00,28.00,0,0,1,0,1,0,0,1,0,2,1,0,0,1,3,0,0,1,2,2,1,0,3,0,2,0,0,2,2,2,6,3,4,0,3,1,6,,,,,,,
